Date,Description,Merchant,Amount,Category
01-01-2026,Local Cafe 01 Jan,Local Cafe,161.0,Food & Dining
01-01-2026,Subway 01 Jan,Subway,222.0,Food & Dining
01-01-2026,McDonalds 01 Jan,McDonalds,270.0,Food & Dining
01-01-2026,Subway 01 Jan,Subway,305.0,Food & Dining
01-01-2026,Netflix Monthly,Netflix,1259.0,Subscriptions
01-01-2026,Amazon Prime Monthly,Amazon Prime,1137.0,Subscriptions
01-02-2026,Water Bill 01 Feb,Water Bill,501.0,Bills & Utilities
01-02-2026,Burger King 01 Feb,Burger King,295.0,Food & Dining
01-02-2026,Jio Recharge 01 Feb,Jio Recharge,545.0,Bills & Utilities
01-02-2026,Local Store 01 Feb,Local Store,252.0,Shopping
01-02-2026,Burger King 01 Feb,Burger King,799.0,Food & Dining
01-02-2026,IKEA 01 Feb,IKEA,1725.0,Shopping
01-02-2026,Pizza Hut 01 Feb,Pizza Hut,613.0,Food & Dining
01-02-2026,Gym Membership Monthly,Gym Membership,1967.0,Subscriptions
01-02-2026,Health Checkup 01 Feb,Health Checkup,4472.0,Healthcare
01-02-2026,ATM Fee 01 Feb,ATM Fee,27.0,Other
01-02-2026,Steam 01 Feb,Steam,610.0,Entertainment
01-02-2026,Society Maintenance 01 Feb,Society Maintenance,1825.0,Bills & Utilities
01-02-2026,Zomato 01 Feb,Zomato,279.0,Food & Dining
01-03-2026,Zomato 01 Mar,Zomato,782.0,Food & Dining
01-03-2026,Amazon Prime Monthly,Amazon Prime,1202.0,Subscriptions
01-03-2026,Uber 01 Mar,Uber,172.0,Transport
01-03-2026,Uber 01 Mar,Uber,192.0,Transport
01-03-2026,Broadband Bill 01 Mar,Broadband Bill,1480.0,Bills & Utilities
01-03-2026,Dominos 01 Mar,Dominos,374.0,Food & Dining
01-03-2026,Reliance Fresh 01 Mar,Reliance Fresh,1561.0,Groceries
01-03-2026,Spotify 01 Mar,Spotify,172.0,Subscriptions
01-03-2026,Random 01 Mar,Random,326.0,Other
01-03-2026,Steam 01 Mar,Steam,2446.0,Entertainment
01-03-2026,Rent Transfer 01 Mar,Rent Transfer,5266.0,Transfers
01-03-2026,Burger King 01 Mar,Burger King,774.0,Food & Dining
01-04-2026,Amazon Prime Monthly,Amazon Prime,1491.0,Subscriptions
01-04-2026,Burger King 01 Apr,Burger King,435.0,Food & Dining
01-04-2026,Zomato 01 Apr,Zomato,436.0,Food & Dining
01-04-2026,Zomato Dining 01 Apr,Zomato Dining,772.0,Entertainment
01-04-2026,Jio Recharge 01 Apr,Jio Recharge,594.0,Bills & Utilities
01-04-2026,Local Cafe 01 Apr,Local Cafe,281.0,Food & Dining
01-04-2026,FD Deposit 01 Apr,FD Deposit,9044.0,Transfers
01-04-2026,Local Cafe 01 Apr,Local Cafe,216.0,Food & Dining
01-05-2026,iCloud Monthly,iCloud,98.0,Subscriptions
01-05-2026,Local Cafe 01 May,Local Cafe,335.0,Food & Dining
01-05-2026,Blinkit 01 May,Blinkit,1310.0,Groceries
01-05-2026,Doctor Visit 01 May,Doctor Visit,1622.0,Healthcare
01-05-2026,Burger King 01 May,Burger King,345.0,Food & Dining
01-05-2026,McDonalds 01 May,McDonalds,294.0,Food & Dining
01-05-2026,Decathlon 01 May,Decathlon,3471.0,Shopping
01-05-2026,Indian Oil 01 May,Indian Oil,2737.0,Transport
01-06-2026,Local Grocer 01 Jun,Local Grocer,552.0,Groceries
01-06-2026,Cash Withdrawal 01 Jun,Cash Withdrawal,4269.0,Other
01-06-2026,Hotstar Monthly,Hotstar,755.0,Subscriptions
01-06-2026,Google One Monthly,Google One,406.0,Subscriptions
01-06-2026,Subway 01 Jun,Subway,416.0,Food & Dining
01-06-2026,Blinkit 01 Jun,Blinkit,540.0,Groceries
01-06-2026,Zomato 01 Jun,Zomato,502.0,Food & Dining
01-06-2026,IKEA 01 Jun,IKEA,1380.0,Shopping
01-06-2026,BookMyShow 01 Jun,BookMyShow,301.0,Entertainment
02-01-2026,McDonalds 02 Jan,McDonalds,487.0,Food & Dining
02-01-2026,Zomato 02 Jan,Zomato,379.0,Food & Dining
02-01-2026,Swiggy 02 Jan,Swiggy,478.0,Food & Dining
02-01-2026,Random 02 Jan,Random,132.0,Other
02-01-2026,IKEA 02 Jan,IKEA,5041.0,Shopping
02-01-2026,Local Store 02 Jan,Local Store,1973.0,Shopping
02-01-2026,Local Cafe 02 Jan,Local Cafe,213.0,Food & Dining
02-01-2026,Blinkit 02 Jan,Blinkit,1071.0,Groceries
02-02-2026,Burger King 02 Feb,Burger King,311.0,Food & Dining
02-02-2026,Society Maintenance 02 Feb,Society Maintenance,2139.0,Bills & Utilities
02-02-2026,Swiggy 02 Feb,Swiggy,153.0,Food & Dining
02-02-2026,Pizza Hut 02 Feb,Pizza Hut,663.0,Food & Dining
02-02-2026,Subway 02 Feb,Subway,228.0,Food & Dining
02-02-2026,Nykaa 02 Feb,Nykaa,1332.0,Shopping
02-02-2026,Swiggy 02 Feb,Swiggy,453.0,Food & Dining
02-02-2026,Broadband Bill 02 Feb,Broadband Bill,1137.0,Bills & Utilities
02-03-2026,Broadband Bill 02 Mar,Broadband Bill,957.0,Bills & Utilities
02-03-2026,Nykaa 02 Mar,Nykaa,1134.0,Shopping
02-03-2026,Mutual Fund 02 Mar,Mutual Fund,5344.0,Transfers
02-03-2026,FD Deposit 02 Mar,FD Deposit,25354.0,Transfers
02-03-2026,FD Deposit 02 Mar,FD Deposit,4124.0,Transfers
02-03-2026,Burger King 02 Mar,Burger King,499.0,Food & Dining
02-03-2026,Misc Expense 02 Mar,Misc Expense,526.0,Other
02-03-2026,McDonalds 02 Mar,McDonalds,452.0,Food & Dining
02-03-2026,Jio Recharge 02 Mar,Jio Recharge,858.0,Bills & Utilities
02-04-2026,Subway 02 Apr,Subway,250.0,Food & Dining
02-04-2026,Blinkit 02 Apr,Blinkit,607.0,Groceries
02-04-2026,Local Grocer 02 Apr,Local Grocer,344.0,Groceries
02-04-2026,DMart 02 Apr,DMart,3211.0,Groceries
02-04-2026,Decathlon 02 Apr,Decathlon,1912.0,Shopping
02-04-2026,Airtel Recharge 02 Apr,Airtel Recharge,849.0,Bills & Utilities
02-04-2026,BPCL 02 Apr,BPCL,2094.0,Transport
02-04-2026,Rent Transfer 02 Apr,Rent Transfer,22480.0,Transfers
02-05-2026,Uber 02 May,Uber,408.0,Transport
02-05-2026,Misc Expense 02 May,Misc Expense,299.0,Other
02-05-2026,Decathlon 02 May,Decathlon,1583.0,Shopping
02-05-2026,Dosa Plaza 02 May,Dosa Plaza,404.0,Food & Dining
02-05-2026,Dominos 02 May,Dominos,418.0,Food & Dining
02-05-2026,Uber Pool 02 May,Uber Pool,187.0,Transport
02-05-2026,Zomato 02 May,Zomato,576.0,Food & Dining
02-05-2026,Local Store 02 May,Local Store,1836.0,Shopping
02-05-2026,Metro Card 02 May,Metro Card,68.0,Transport
02-06-2026,Zomato 02 Jun,Zomato,328.0,Food & Dining
02-06-2026,Reliance Fresh 02 Jun,Reliance Fresh,1682.0,Groceries
02-06-2026,Netflix 02 Jun,Netflix,596.0,Subscriptions
02-06-2026,Zomato 02 Jun,Zomato,543.0,Food & Dining
02-06-2026,Swiggy 02 Jun,Swiggy,524.0,Food & Dining
02-06-2026,Local Grocer 02 Jun,Local Grocer,995.0,Groceries
02-06-2026,Rent Payment 02 Jun,Rent Payment,12111.0,Bills & Utilities
02-06-2026,Pizza Hut 02 Jun,Pizza Hut,591.0,Food & Dining
02-06-2026,Indian Oil 02 Jun,Indian Oil,2061.0,Transport
03-01-2026,Netflix 03 Jan,Netflix,728.0,Subscriptions
03-01-2026,Burger King 03 Jan,Burger King,425.0,Food & Dining
03-01-2026,Dominos 03 Jan,Dominos,759.0,Food & Dining
03-01-2026,Zomato 03 Jan,Zomato,330.0,Food & Dining
03-01-2026,Airtel Recharge 03 Jan,Airtel Recharge,928.0,Bills & Utilities
03-01-2026,McDonalds 03 Jan,McDonalds,610.0,Food & Dining
03-01-2026,Decathlon 03 Jan,Decathlon,3596.0,Shopping
03-01-2026,Zepto 03 Jan,Zepto,360.0,Groceries
03-02-2026,Gym Membership 03 Feb,Gym Membership,1632.0,Subscriptions
03-02-2026,Dosa Plaza 03 Feb,Dosa Plaza,151.0,Food & Dining
03-02-2026,Zomato 03 Feb,Zomato,631.0,Food & Dining
03-02-2026,Parking 03 Feb,Parking,26.0,Transport
03-02-2026,Reliance Fresh 03 Feb,Reliance Fresh,1500.0,Groceries
03-02-2026,Local Grocer 03 Feb,Local Grocer,534.0,Groceries
03-03-2026,Dosa Plaza 03 Mar,Dosa Plaza,220.0,Food & Dining
03-03-2026,Big Basket 03 Mar,Big Basket,637.0,Groceries
03-03-2026,Zepto 03 Mar,Zepto,392.0,Groceries
03-03-2026,DMart 03 Mar,DMart,2298.0,Groceries
03-03-2026,Zepto 03 Mar,Zepto,672.0,Groceries
03-03-2026,Local Cafe 03 Mar,Local Cafe,167.0,Food & Dining
03-03-2026,Local Cafe 03 Mar,Local Cafe,205.0,Food & Dining
03-03-2026,Local Cafe 03 Mar,Local Cafe,336.0,Food & Dining
03-03-2026,Credit Card Payment 03 Mar,Credit Card Payment,9650.0,Transfers
03-04-2026,Dominos 03 Apr,Dominos,406.0,Food & Dining
03-04-2026,BPCL 03 Apr,BPCL,1080.0,Transport
03-04-2026,Local Grocer 03 Apr,Local Grocer,996.0,Groceries
03-04-2026,Mutual Fund 03 Apr,Mutual Fund,15100.0,Transfers
03-04-2026,Dosa Plaza 03 Apr,Dosa Plaza,176.0,Food & Dining
03-04-2026,Metro Card 03 Apr,Metro Card,42.0,Transport
03-05-2026,Swiggy 03 May,Swiggy,561.0,Food & Dining
03-05-2026,Mutual Fund 03 May,Mutual Fund,2276.0,Transfers
03-05-2026,Zepto 03 May,Zepto,371.0,Groceries
03-05-2026,Broadband Bill 03 May,Broadband Bill,1327.0,Bills & Utilities
03-05-2026,Google One 03 May,Google One,199.0,Subscriptions
03-05-2026,Zomato 03 May,Zomato,741.0,Food & Dining
03-05-2026,Uber 03 May,Uber,406.0,Transport
03-05-2026,Subway 03 May,Subway,204.0,Food & Dining
03-05-2026,Big Basket 03 May,Big Basket,1285.0,Groceries
03-05-2026,Local Store 03 May,Local Store,943.0,Shopping
03-06-2026,Zomato 03 Jun,Zomato,519.0,Food & Dining
03-06-2026,Local Grocer 03 Jun,Local Grocer,816.0,Groceries
03-06-2026,Zomato 03 Jun,Zomato,339.0,Food & Dining
03-06-2026,Myntra 03 Jun,Myntra,2740.0,Shopping
03-06-2026,Swiggy 03 Jun,Swiggy,161.0,Food & Dining
03-06-2026,Credit Card Payment 03 Jun,Credit Card Payment,57524.0,Transfers
03-06-2026,Misc Expense 03 Jun,Misc Expense,864.0,Other
04-01-2026,Indian Oil 04 Jan,Indian Oil,1530.0,Transport
04-01-2026,Subway 04 Jan,Subway,564.0,Food & Dining
04-01-2026,Zomato 04 Jan,Zomato,273.0,Food & Dining
04-01-2026,Dosa Plaza 04 Jan,Dosa Plaza,410.0,Food & Dining
04-01-2026,Ajio 04 Jan,Ajio,721.0,Shopping
04-01-2026,Misc Expense 04 Jan,Misc Expense,619.0,Other
04-01-2026,Reliance Fresh 04 Jan,Reliance Fresh,407.0,Groceries
04-01-2026,FD Deposit 04 Jan,FD Deposit,20372.0,Transfers
04-01-2026,Misc Expense 04 Jan,Misc Expense,696.0,Other
04-01-2026,DMart 04 Jan,DMart,3490.0,Groceries
04-01-2026,Broadband Bill 04 Jan,Broadband Bill,1421.0,Bills & Utilities
04-02-2026,Ola 04 Feb,Ola,295.0,Transport
04-02-2026,Local Cafe 04 Feb,Local Cafe,149.0,Food & Dining
04-02-2026,Water Bill 04 Feb,Water Bill,466.0,Bills & Utilities
04-02-2026,Electricity Board 04 Feb,Electricity Board,943.0,Bills & Utilities
04-02-2026,Society Maintenance 04 Feb,Society Maintenance,2949.0,Bills & Utilities
04-02-2026,ATM Fee 04 Feb,ATM Fee,22.0,Other
04-02-2026,Jio Recharge 04 Feb,Jio Recharge,809.0,Bills & Utilities
04-03-2026,PlayStation Store 04 Mar,PlayStation Store,3314.0,Entertainment
04-03-2026,Indian Oil 04 Mar,Indian Oil,1609.0,Transport
04-03-2026,Local Grocer 04 Mar,Local Grocer,979.0,Groceries
04-03-2026,Local Grocer 04 Mar,Local Grocer,361.0,Groceries
